created_at,entry_id,field1,field2
2025-11-22 08:20:43 UTC,19654100,0.000000,2.000000
2025-11-22 08:20:58 UTC,19654101,0.000000,0.000000
2025-11-22 08:21:14 UTC,19654102,0.000000,0.000000
2025-11-22 08:21:29 UTC,19654103,0.000000,0.000000
2025-11-22 08:21:45 UTC,19654104,0.000000,2.000000
2025-11-22 08:22:00 UTC,19654105,0.000000,2.000000
2025-11-22 08:22:16 UTC,19654106,0.000000,0.000000
2025-11-22 08:22:32 UTC,19654107,1.000000,1.000000
2025-11-22 08:22:47 UTC,19654108,0.000000,0.000000
2025-11-22 08:23:03 UTC,19654109,0.000000,0.000000
2025-11-22 08:23:18 UTC,19654110,1.000000,0.000000
2025-11-22 08:23:34 UTC,19654111,0.000000,1.000000
2025-11-22 08:23:50 UTC,19654112,1.000000,5.000000
2025-11-22 08:24:06 UTC,19654113,0.000000,0.000000
2025-11-22 08:24:21 UTC,19654114,0.000000,0.000000
2025-11-22 08:24:37 UTC,19654115,0.000000,2.000000
2025-11-22 08:24:52 UTC,19654116,4.000000,0.000000
2025-11-22 08:25:08 UTC,19654117,0.000000,0.000000
2025-11-22 08:25:24 UTC,19654118,0.000000,3.000000
2025-11-22 08:25:40 UTC,19654119,0.000000,0.000000
2025-11-22 08:25:56 UTC,19654120,1.000000,0.000000
2025-11-22 08:26:11 UTC,19654121,0.000000,0.000000
2025-11-22 08:26:27 UTC,19654122,0.000000,0.000000
2025-11-22 08:26:42 UTC,19654123,0.000000,0.000000
2025-11-22 08:26:58 UTC,19654124,0.000000,0.000000
2025-11-22 08:27:14 UTC,19654125,0.000000,3.000000
2025-11-22 08:27:30 UTC,19654126,0.000000,4.000000
2025-11-22 08:27:45 UTC,19654127,0.000000,0.000000
2025-11-22 08:28:01 UTC,19654128,1.000000,1.000000
2025-11-22 08:28:17 UTC,19654129,0.000000,0.000000
2025-11-22 08:28:32 UTC,19654130,4.000000,0.000000
2025-11-22 08:28:48 UTC,19654131,0.000000,0.000000
2025-11-22 08:29:04 UTC,19654132,3.000000,1.000000
